epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,4671.76,0.70304,0.59522,1.18141,0.82046,0.74275,0.81592,0.6068,1.01609,0.88407,1.59641,0.00536081,0.00536081,0.00536081
74,4735.87,0.68013,0.57574,1.16744,0.79135,0.78736,0.83019,0.60711,1.02188,0.87,1.60687,0.00525728,0.00525728,0.00525728
75,4799.95,0.67987,0.58064,1.16681,0.80504,0.76035,0.82034,0.60724,1.01034,0.88959,1.59893,0.00515366,0.00515366,0.00515366
76,4864.57,0.66821,0.56192,1.16183,0.7939,0.76034,0.8204,0.60042,1.01671,0.88382,1.61105,0.00505,0.00505,0.00505
77,4928.91,0.66642,0.5656,1.15642,0.80198,0.76295,0.81966,0.60517,1.0163,0.90811,1.59888,0.00494634,0.00494634,0.00494634
78,4992.72,0.66251,0.55221,1.15278,0.822,0.75178,0.81853,0.59987,1.02106,0.86006,1.61394,0.00484272,0.00484272,0.00484272
79,5056.99,0.6583,0.55232,1.14905,0.8224,0.76023,0.82605,0.60532,1.02576,0.88968,1.63045,0.00473919,0.00473919,0.00473919
80,5121.62,0.65916,0.54863,1.14784,0.79396,0.77684,0.82393,0.6072,1.01825,0.88676,1.61268,0.00463579,0.00463579,0.00463579
81,5185.47,0.65311,0.55015,1.145,0.82625,0.75116,0.81864,0.60245,1.03065,0.91844,1.63647,0.00453258,0.00453258,0.00453258
82,5249.78,0.63431,0.53102,1.12777,0.79548,0.78032,0.82846,0.62005,1.00929,0.88563,1.61509,0.0044296,0.0044296,0.0044296
83,5313.52,0.63985,0.53439,1.13478,0.8539,0.72289,0.81981,0.61054,1.01229,0.92902,1.63728,0.00432689,0.00432689,0.00432689
84,5377.34,0.62659,0.52576,1.12946,0.82885,0.757,0.8209,0.61063,1.01763,0.88523,1.64107,0.00422449,0.00422449,0.00422449
85,5441.47,0.62282,0.51791,1.1249,0.82717,0.75748,0.82243,0.61421,1.01637,0.89354,1.64224,0.00412246,0.00412246,0.00412246
86,5505.36,0.62356,0.51148,1.12459,0.85068,0.73375,0.82312,0.61344,1.01033,0.90548,1.63889,0.00402084,0.00402084,0.00402084
87,5569.64,0.62176,0.51188,1.12094,0.79642,0.77819,0.82127,0.60919,1.01362,0.90469,1.65301,0.00391966,0.00391966,0.00391966
88,5633.21,0.60992,0.51262,1.11415,0.82256,0.76012,0.81988,0.60905,1.01486,0.91224,1.64547,0.00381899,0.00381899,0.00381899
89,5697.36,0.60638,0.50368,1.11209,0.8352,0.74143,0.82126,0.61127,1.00962,0.90858,1.63736,0.00371885,0.00371885,0.00371885
90,5761.94,0.6089,0.50583,1.10804,0.81042,0.75158,0.80601,0.60105,1.01852,0.90969,1.66885,0.00361929,0.00361929,0.00361929
91,5826.08,0.60358,0.495,1.10605,0.81977,0.7394,0.80796,0.60325,1.01943,0.90448,1.67079,0.00352037,0.00352037,0.00352037
92,5890.27,0.59629,0.4895,1.10503,0.79193,0.76147,0.81287,0.60704,1.016,0.89686,1.66383,0.00342211,0.00342211,0.00342211
93,5954.4,0.59305,0.49138,1.09988,0.844,0.74386,0.81978,0.61432,1.01803,0.88511,1.66547,0.00332457,0.00332457,0.00332457
94,6018.39,0.58566,0.48479,1.09867,0.81612,0.75792,0.82282,0.61411,1.00843,0.89485,1.66421,0.00322778,0.00322778,0.00322778
95,6082.04,0.57914,0.47583,1.08936,0.80734,0.76119,0.81523,0.61043,1.01285,0.91458,1.67228,0.0031318,0.0031318,0.0031318
96,6146.02,0.58017,0.48127,1.09225,0.82568,0.74317,0.81624,0.61028,1.02447,0.9323,1.68008,0.00303665,0.00303665,0.00303665
97,6210,0.57488,0.46921,1.08892,0.8085,0.75535,0.82071,0.61272,1.02221,0.92626,1.68216,0.00294239,0.00294239,0.00294239
